Date,XLU,XLV,DIA,GDX,XLE,XLY,VNQ,XLK,XLF,XLP,FSTA,IHI,XRT,RXI,IYW,VIS,KBE,SIL,FNCL,XAR,FXU,SHY
2020-01-16,66.30000305175781,104.48999786376953,291.11480712890625,28.670000076293945,59.5,127.54000091552734,93.89720153808594,96.47000122070312,30.940000534057617,63.709999084472656,37.83272933959961,272.6700134277344,45.93000030517578,127.87000274658203,246.1699981689453,158.55860900878906,46.720001220703125,31.549999237060547,44.193115234375,116.5,29.56999969482422,84.48223876953125
2020-01-17,66.76000213623047,104.48999786376953,291.59002685546875,28.420000076293945,59.119998931884766,127.98999786376953,93.98651123046875,97.12000274658203,31.030000686645508,63.81999969482422,37.89225769042969,273.4599914550781,45.880001068115234,128.64999389648438,247.72999572753906,158.40940856933594,46.84000015258789,31.06999969482422,44.34154510498047,116.33000183105469,29.670000076293945,84.51214599609375
2020-01-21,67.37000274658203,104.5999984741211,290.1582946777344,28.950000762939453,58.060001373291016,127.5999984741211,94.8795394897461,97.08000183105469,30.770000457763672,64.04000091552734,38.03116989135742,274.9800109863281,45.63999938964844,127.4800033569336,247.55999755859375,156.91732788085938,46.29999923706055,31.280000686645508,43.965518951416016,115.75,29.790000915527344,84.53208923339844
2020-01-22,67.58000183105469,104.7300033569336,290.138427734375,28.84000015258789,57.5,127.54000091552734,94.24449920654297,97.43000030517578,30.860000610351562,64.08999633789062,38.060935974121094,277.1400146484375,45.470001220703125,127.41000366210938,248.41000366210938,156.10165405273438,46.25,31.440000534057617,44.13373947143555,115.16000366210938,29.84000015258789,84.5520248413086
2020-01-23,68.18000030517578,104.19999694824219,289.8699645996094,28.65999984741211,57.279998779296875,127.7300033569336,95.03829956054688,97.88999938964844,30.780000686645508,64.02999877929688,37.9815559387207,274.760009765625,45.41999816894531,127.30999755859375,249.52000427246094,157.40475463867188,46.22999954223633,31.280000686645508,44.034786224365234,115.8499984741211,30.030000686645508,84.5819320678711
2020-01-24,68.36000061035156,102.45999908447266,288.1399230957031,29.219999313354492,56.619998931884766,125.94999694824219,94.71085357666016,97.43000030517578,30.389999389648438,63.59000015258789,37.73350524902344,272.54998779296875,44.900001525878906,125.77999877929688,248.16000366210938,156.5890655517578,45.5,31.780000686645508,43.47074508666992,115.5,29.8700008392334,84.61185455322266
2020-01-27,68.19000244140625,101.68000030517578,283.725341796875,29.079999923706055,55.04999923706055,124.06999969482422,94.2544174194336,95.11000061035156,29.920000076293945,63.38999938964844,37.56483459472656,270.6400146484375,44.470001220703125,123.33999633789062,242.27999877929688,153.8336944580078,44.70000076293945,31.1299991607666,42.80774688720703,115.0199966430664,29.6299991607666,84.70156860351562
2020-01-28,68.47000122070312,102.18000030517578,285.6443176269531,28.309999465942383,55.29999923706055,125.27999877929688,94.63147735595703,96.93000030517578,30.270000457763672,63.470001220703125,37.62436294555664,272.5199890136719,44.720001220703125,124.33999633789062,246.72000122070312,154.98756408691406,45.09000015258789,30.290000915527344,43.262943267822266,116.0,29.780000686645508,84.66168975830078
2020-01-29,68.6500015258789,101.9000015258789,285.6443176269531,28.860000610351562,54.720001220703125,125.20999908447266,94.2841796875,97.18000030517578,30.219999313354492,63.150001525878906,37.41600036621094,272.4800109863281,44.619998931884766,124.22000122070312,247.47000122070312,155.49488830566406,44.630001068115234,30.8700008392334,43.16398620605469,115.41000366210938,29.65999984741211,84.741455078125
2020-01-30,69.29000091552734,101.16000366210938,286.8871765136719,28.729999542236328,55.15999984741211,125.0,94.3536376953125,98.0199966430664,30.600000381469727,63.900001525878906,37.763275146484375,271.75,44.369998931884766,123.9000015258789,248.47999572753906,155.6042938232422,45.099998474121094,30.8799991607666,43.66865539550781,114.94999694824219,29.809999465942383,84.75142669677734
